Дата,Показатель
6/1/2020,  6 151 
6/2/2020,  6 181 
6/3/2020,  6 205 
6/4/2020,  6 234 
6/5/2020,  6 228 
6/6/2020,  6 246 
6/7/2020,  6 246 
6/8/2020,  6 247 
6/9/2020,  6 296 
6/10/2020,  6 306 
6/11/2020,  6 314 
6/12/2020,  6 321 
6/13/2020,  6 344 
6/14/2020,  6 346 
6/15/2020,  6 372 
6/16/2020,  6 376 
6/17/2020,  6 382 
6/18/2020,  6 394 
6/19/2020,  6 397 
6/20/2020,  6 418 
6/21/2020,  6 417 
6/22/2020,  6 434 
6/23/2020,  6 425 
6/24/2020,  6 406 
6/25/2020,  6 396 
6/26/2020,  6 383 
6/27/2020,  6 396 
6/28/2020,  6 404 
6/29/2020,  6 437 
6/30/2020,  6 368 
7/1/2020,  6 395 
7/2/2020,  6 428 
7/3/2020,  6 449 
7/4/2020,  6 476 
7/5/2020,  6 487 
7/6/2020,  6 524 
7/7/2020,  6 518 
7/8/2020,  6 515 
7/9/2020,  6 518 
7/10/2020,  6 519 
7/11/2020,  6 540 
7/12/2020,  6 539 
7/13/2020,  6 565 
7/14/2020,  6 570 
7/15/2020,  6 569 
7/16/2020,  6 572 
7/17/2020,  6 574 
7/18/2020,  6 595 
7/19/2020,  6 597 
7/20/2020,  6 618 
7/21/2020,  6 613 
7/22/2020,  6 604 
7/23/2020,  6 593 
7/24/2020,  6 572 
7/25/2020,  6 583 
7/26/2020,  6 583 
7/27/2020,  6 602 
7/28/2020,  6 603 
7/29/2020,  6 588 
7/30/2020,  6 564 
7/31/2020,  6 525 
8/1/2020,  6 556 
8/2/2020,  6 564 
8/3/2020,  6 626 
8/4/2020,  6 648 
8/5/2020,  6 663 
8/6/2020,  6 668 
8/7/2020,  6 666 
8/8/2020,  6 673 
8/9/2020,  6 671 
8/10/2020,  6 702 
8/11/2020,  6 706 
8/12/2020,  6 710 
8/13/2020,  6 719 
8/14/2020,  6 713 
8/15/2020,  6 733 
8/16/2020,  6 732 
8/17/2020,  6 759 
8/18/2020,  6 762 
8/19/2020,  6 766 
8/20/2020,  6 764 
8/21/2020,  6 744 
8/22/2020,  6 757 
8/23/2020,  6 748 
8/24/2020,  6 789 
8/25/2020,  6 767 
8/26/2020,  6 754 
8/27/2020,  6 747 
8/28/2020,  6 728 
8/29/2020,  6 741 
8/30/2020,  6 731 
8/31/2020,  6 703 